metal,facet,OH*,OCCOH*,O*,H*,COOH*,CO*,C*,CH4,C2H4,CO,H2,MeD,EtOH,PrD,AlOH,PrOH,HCOOH,CH3OOH,
Cu,100,-0.075690369,-0.165608167,0.597151796,0.138276597,-0.145655463,-0.569520924,0.652417109,30.4,40.4,0.9,6.8,1.6,9.7,2.8,0.8,1.5,3,1,98.9
Cu,1111,-0.113444973,-0.524107503,0.493543353,0.068053336,-0.424327656,-0.75473835,0.734584669,8.9,50.2,1.8,8.8,1.1,14.4,3.3,1,2.3,3.2,2.1,97.1
Cu,911,-0.323447643,-0.501938224,0.439508724,0.060409992,-0.412154737,-0.737806413,0.722656344,5.7,50.9,0,12.7,1.2,16.9,2.4,2.5,4.5,3.5,1.1,101.4
Cu,711,-0.305811619,-0.479831349,0.528111197,0.03148199,-0.411630169,-0.716354178,0.756367952,5,50,1.1,15.6,1.2,7.4,5.2,2.2,4.6,4.6,0.9,97.8
Cu,511,-0.106929555,-0.407334131,0.552297228,0.06594357,-0.397773723,-0.699134686,0.803959006,11.4,39,1.9,18.1,1.4,12.2,3,1.6,3.3,8.8,0.8,101.5
Cu,311,-0.340910128,-0.369563167,0.67111035,0.02212168,-0.469174135,-0.775472589,0.835477845,36,23.8,2.6,13.3,1.1,3.3,2.3,0.4,1.5,14,0.6,98.9
Cu,111,0.06784932,0.100497086,0.885095326,0.019613528,-0.189064453,-0.559283849,1.731726612,46.3,8.3,6.4,16.3,2.1,2.6,0.6,0.7,0,11.5,1.5,96.3
Cu,810,-0.042858785,-0.08388352,0.67121695,0.12473498,-0.141256223,-0.681574677,0.610553328,6.4,45.1,1.4,8.7,0.9,26,1.1,0.9,1.9,1.5,1.6,95.5
Cu,610,-0.13949387,-0.077391932,0.501558075,0.051595605,-0.15898029,-0.68676579,0.680590774,7.6,44.7,0.9,9,1.5,26,1.2,1.3,2,1.4,1.6,97.2
Cu,510,-0.159645324,-0.207617016,0.500368173,0.087413949,-0.174253248,-0.713402898,0.597683911,8.1,42.3,2.1,10.5,3,26.1,2.6,1.7,1.7,2.8,2.1,103
Cu,310,0.350743602,0.48699492,0.589919237,0.137361192,-0.155740162,-0.628750761,0.821750071,17.7,34.6,0,12.8,1.7,29.9,2.6,0.9,1.9,2.7,1.6,106.4
Cu,210,0.026511079,0.200859684,0.626988253,0.032303523,-0.203751563,-0.700932614,0.950609518,64,13.4,2.2,7,0.9,6.6,0.6,0.2,0.5,5.5,0.7,101.6
Cu,755,-0.228956794,-0.331298879,0.739322167,0.015991007,-0.200034693,-0.65219819,0.811152791,62.9,11.5,4.4,6.9,0.6,5.3,1.2,0.7,0.6,12.3,0.5,106.9
Cu,533,-0.204859519,-0.041293067,0.750977034,0.024667169,-0.201441916,-0.656181916,0.904278961,62.9,13,3,4.7,0.6,1.9,0.7,0.5,0.4,9.7,0.5,97.9
Cu,211,-0.199373711,0.038885074,0.837974778,-0.018493178,-0.4459858,-0.66543338,1.679241191,45.6,17.8,2.1,11.2,0.3,3.4,2,0.7,1.3,13.6,0.5,98.5
Cu,332,-0.210130352,-0.0798888,0.59591194,-0.034256989,-0.276376961,-0.69296658,1.110035604,39.6,9.9,6.1,10.3,5.1,7.1,0.2,0.3,0.2,9.4,3.4,91.6
Cu,331,-0.185611801,-0.076408886,0.659899989,0.008700232,-0.246928071,-0.666312979,1.092102642,13.8,16.6,7.7,5.7,7.1,15.6,0.5,0,0.4,9.1,7.5,84
Cu,110,0.048495136,-0.058656657,1.067399308,0.128530693,-0.344495791,-0.623258477,1.425344013,6.9,13.5,13.9,3.1,19.9,10.5,1.3,0,0.04,10.1,20.8,100.04
Cu,650,-0.318030998,0.221240072,0.581981364,0.005769522,-0.236961706,-0.701444361,0.885778813,10.5,16.2,14.5,2.5,16.2,10.9,0.8,0,0.06,6.1,20.6,98.36
Cu,320,-0.209472944,0.222679434,1.068234881,0.128104342,-0.155381426,-0.639207249,0.965003967,52.4,13.7,5.4,5.3,3.2,6.5,0.6,0.3,0.4,5.8,4.8,98.4
Cu,210,0.026511079,0.200859684,0.626988253,0.032303523,-0.203751563,-0.700932614,0.950609518,64,13.4,2.2,7,0.9,6.6,0.6,0.2,0.5,5.5,0.7,101.6
